theta,rho,beta_min,n,p,k,sigma,lambda_factor,average_mse,average_tpr,average_fdp,exact_support_recovery_rate,unsigned_support_recovery_rate,lambda_used,n_reps
48.0563865017745,0.3,1.0,330,1000,40,1.0,1.0,0.01127488736149439,0.9917500000000038,0.22840911470121103,0.0,0.0,0.4092196647717832,1000
48.0563865017745,0.3,1.0,330,1000,40,1.0,1.0,0.011208152938161122,0.9929000000000032,0.22413122313001785,0.0,0.0,0.4092196647717832,1000
52.425148911026724,0.3,1.0,360,1000,40,1.0,1.0,0.00966702376108189,0.9978000000000012,0.17929800782663563,0.002,0.002,0.3917980000794666,1000
52.425148911026724,0.3,1.0,360,1000,40,1.0,1.0,0.009642911531030267,0.9978750000000012,0.17738712012563546,0.001,0.001,0.3917980000794666,1000
52.425148911026724,0.3,1.0,360,1000,40,1.0,1.0,0.009745152699096786,0.9973750000000015,0.18070027899232274,0.0,0.0,0.3917980000794666,1000
56.79391132027895,0.3,1.0,390,1000,40,1.0,1.0,0.008445817610929506,0.9995250000000002,0.13954292582186384,0.005,0.005,0.3764273425035022,1000
56.79391132027895,0.3,1.0,390,1000,40,1.0,1.0,0.008481860643720893,0.9992750000000005,0.1404179014091023,0.005,0.005,0.3764273425035022,1000
56.79391132027895,0.3,1.0,390,1000,40,1.0,1.0,0.008484860122377952,0.9992000000000006,0.14120873684031487,0.005,0.005,0.3764273425035022,1000
61.16267372953118,0.3,1.0,420,1000,40,1.0,1.0,0.007743968334827991,0.9995500000000003,0.1153379353678126,0.008,0.008,0.36273446352425787,1000
15.290668432382795,0.6,0.5,420,1000,40,1.0,1.0,0.006500556754103255,0.7317250000000004,0.19020186059850408,0.0,0.0,0.36273446352425787,1000
16.38285903469585,0.6,0.5,450,1000,40,1.0,1.0,0.006240785535040719,0.7728750000000003,0.17664623902402513,0.0,0.0,0.35043478465046213,1000
17.475049637008908,0.6,0.5,480,1000,40,1.0,1.0,0.005946160983223562,0.8086999999999998,0.15793741118042287,0.0,0.0,0.33930702122075557,1000
19.65943084163502,0.6,0.5,540,1000,40,1.0,1.0,0.005342932203094893,0.873025,0.13102325730574155,0.0,0.0,0.3199017274792054,1000
20.75162144394808,0.6,0.5,570,1000,40,1.0,1.0,0.005120606747499757,0.895149999999999,0.11932988283963601,0.001,0.001,0.3113694771231757,1000
22.936002648574192,0.6,0.5,630,1000,40,1.0,1.0,0.0046191707357361896,0.9245000000000002,0.10257938962372823,0.002,0.002,0.2961714492522095,1000
24.02819325088725,0.6,0.5,660,1000,40,1.0,1.0,0.0044412109149102276,0.935875000000002,0.09507459507889951,0.001,0.001,0.2893619999550136,1000
25.120383853200305,0.6,0.5,690,1000,40,1.0,1.0,0.004215565353797731,0.9437250000000023,0.08669825314406683,0.004,0.004,0.28300161886118913,1000
27.30476505782642,0.6,0.5,750,1000,40,1.0,1.0,0.0038968629960315754,0.9540000000000031,0.07762413965445011,0.011,0.011,0.27144561697660446,1000
28.396955660139476,0.6,0.5,780,1000,40,1.0,1.0,0.003711497511072861,0.957925000000004,0.07055319173257102,0.016,0.016,0.2661743265082575,1000
29.489146262452532,0.6,0.5,810,1000,40,1.0,1.0,0.003572430530894581,0.9596500000000047,0.06768851935664298,0.012,0.012,0.2611986667196444,1000
31.673527467078646,0.6,0.5,870,1000,40,1.0,1.0,0.003342274176956556,0.9639500000000047,0.05940526454198925,0.038,0.038,0.2520309282057453,1000
32.7657180693917,0.6,0.5,900,1000,40,1.0,1.0,0.0032449523266835844,0.9639000000000042,0.056292175253823316,0.039,0.039,0.24779481258998923,1000
34.950099274017816,0.6,0.5,960,1000,40,1.0,1.0,0.0030326020898728497,0.9672500000000042,0.05268794423340275,0.05,0.05,0.23992629560940407,1000
36.04228987633087,0.6,0.5,990,1000,40,1.0,1.0,0.0029346646041995264,0.9690750000000048,0.05088192551498047,0.056,0.056,0.23626308361367743,1000
37.13448047864393,0.6,0.5,1020,1000,40,1.0,1.0,0.0028201778463156943,0.973200000000006,0.048266000669884984,0.074,0.074,0.23276269627311522,1000
39.31886168327004,0.6,0.5,1080,1000,40,1.0,1.0,0.002694398764786124,0.9732500000000051,0.04241519549349738,0.091,0.091,0.22620468081383707,1000
40.4110522855831,0.6,0.5,1110,1000,40,1.0,1.0,0.00261857511511246,0.9741250000000048,0.04274737764625728,0.084,0.084,0.22312692269715836,1000
41.50324288789616,0.6,0.5,1140,1000,40,1.0,1.0,0.0025514617864988644,0.9740500000000046,0.04266222993391733,0.07,0.07,0.2201714687283071,1000
43.68762409252227,0.6,0.5,1200,1000,40,1.0,1.0,0.0024072274406863776,0.9774000000000046,0.036457968563947854,0.112,0.112,0.2145966026289347,1000
44.77981469483532,0.6,0.5,1230,1000,40,1.0,1.0,0.002378856335711493,0.9763000000000054,0.038060131821275045,0.096,0.096,0.21196341575704994,1000
46.96419589946144,0.6,0.5,1290,1000,40,1.0,1.0,0.0022581576415934184,0.978125000000005,0.03324893563653193,0.131,0.131,0.20697534255991992,1000
48.0563865017745,0.6,0.5,1320,1000,40,1.0,1.0,0.0022056411994871845,0.9802750000000057,0.03268785977702481,0.129,0.129,0.2046098323858916,1000
49.14857710408755,0.6,0.5,1350,1000,40,1.0,1.0,0.002169963569281596,0.9816250000000054,0.029748499381574478,0.169,0.169,0.20232361725135284,1000
51.332958308713664,0.6,0.5,1410,1000,40,1.0,1.0,0.00208339990332464,0.9839000000000048,0.03024506167442448,0.159,0.159,0.19797206306216575,1000
52.425148911026724,0.6,0.5,1440,1000,40,1.0,1.0,0.0020240931955208597,0.9847250000000047,0.028856832853151528,0.205,0.205,0.1958990000397333,1000
13.106287227756681,0.6,1.0,90,1000,40,1.0,1.0,0.03790062787793415,0.24325000000000022,0.7447813899730338,0.0,0.0,0.7835960001589332,1000
17.475049637008908,0.6,1.0,120,1000,40,1.0,1.0,0.03479348713601922,0.36422499999999985,0.6890189439339567,0.0,0.0,0.6786140424415111,1000
53.51733951333978,0.6,0.5,1470,1000,40,1.0,1.0,0.0020110786769434856,0.9837500000000057,0.026426634063333374,0.195,0.195,0.19388972641186034,1000
